episode,return,td_error,emotion,mindset_state,exploration_factor,focus,learning_efficiency,psa_stability,psa_trend,epsilon
0,-500.0,0.9777432680130005,0.5448471415301125,curiosity,0.6,0.48,0.0,0.0,stable,0.3
10,-500.0,0.9482145309448242,0.8,curiosity,0.6,0.3191196652759204,-0.14799597421878136,0.0,stable,0.3
20,-500.0,0.9641392230987549,0.8,curiosity,0.6,0.21216116826211553,-0.1271010704620691,0.9337427241541161,stable,0.3
30,-500.0,0.9428794384002686,0.8,curiosity,0.6,0.1410516687507386,-0.0726139044983517,0.9446685763338598,stable,0.3
40,-500.0,0.8725712895393372,0.8,curiosity,0.6,0.09377575274655355,-0.045682467801965956,0.9514707316300367,stable,0.3
50,-500.0,0.8568713068962097,0.8,curiosity,0.6,0.06234518089057841,-0.03385020742726926,0.956232253331965,stable,0.3
60,-445.0,0.9179691672325134,0.8,curiosity,0.6,0.041449110952850185,0.31949341482728444,0.8561599172274043,stable,0.3
70,-220.0,0.9831529259681702,0.8,pride,0.3,0.0,0.5859156563633827,0.8000788158548984,ascending,0.3
80,-216.0,0.9361714124679565,0.8,pride,0.3,0.0,0.6450000810371664,0.7692954575050868,ascending,0.3
90,-162.0,1.1639076471328735,0.8,pride,0.3,0.0,0.3082993684084809,0.7698375927456268,ascending,0.3
100,-222.0,1.1629558801651,0.8,pride,0.3,0.0,0.13199364790754795,0.7461529951967363,ascending,0.3
110,-305.0,1.4457364082336426,0.7958642878470097,pride,0.3,0.0,0.005704619990315702,0.7406188386884336,ascending,0.3
120,-344.0,1.375925064086914,0.8,pride,0.3,0.0,-0.047934424657807326,0.7404650908708246,ascending,0.3
130,-397.0,1.3196210861206055,0.7995453656893388,pride,0.3,0.0,-0.0931362532608973,0.7442644638705195,ascending,0.3
140,-500.0,1.1914294958114624,0.8,pride,0.3,0.0,-0.6157509200762634,0.7495069558659246,ascending,0.3
150,-500.0,1.0597915649414062,0.8,curiosity,0.6,0.0,-0.575778737146555,0.7546507057884558,stable,0.3
160,-500.0,1.1030254364013672,0.8,curiosity,0.6,0.0,-0.4598482668480585,0.75961633446528,stable,0.3
170,-500.0,1.5253182649612427,0.8,curiosity,0.6,0.0,-0.25149976747674924,0.7643694671340759,stable,0.3
180,-352.0,1.2378363609313965,0.8,curiosity,0.6,0.0,0.17142851014719215,0.7681048591527836,stable,0.3
190,-500.0,1.075116753578186,0.8,curiosity,0.6,0.0,0.26693488223943396,0.7698658654735642,stable,0.3
