episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,lr_actual,buffer_size,train_steps
0,-500.0,0.997,0.5,BALANCED,0.0,False,0.0005,498,435
10,-304.0,0.9674905716180701,0.5,BALANCED,0.0,False,0.0005,4998,4955
20,-198.0,0.9388545698794984,0.5,BALANCED,0.0,False,0.0005,7686,7663
30,-181.0,0.9110661429076764,0.5195600570966032,BALANCED,1.0,True,0.0005,9497,9496
40,-213.0,0.884100203995605,0.5195600570966032,BALANCED,1.0,False,0.0005019560057096604,11396,11415
50,-146.0,0.857932408958235,0.5195600570966032,BALANCED,1.0,False,0.0005019560057096604,13110,13149
60,-190.0,0.8325391341551359,0.5103907060010521,BALANCED,0.5,True,0.0005019560057096604,14799,14860
70,-133.0,0.8078974551636565,0.5103907060010521,BALANCED,0.5,False,0.0005010390706001052,16361,16442
80,-148.0,0.78398512608332,0.5103907060010521,BALANCED,0.5,False,0.0005010390706001052,18138,18239
90,-137.0,0.7607805594527743,0.5014858205150269,BALANCED,0.3333333333333333,True,0.0005010390706001052,19884,20007
100,-156.0,0.7382628067611632,0.5014858205150269,BALANCED,0.3333333333333333,False,0.0005001485820515028,21583,21726
110,-135.0,0.7164115395363275,0.5014858205150269,BALANCED,0.3333333333333333,False,0.0005001485820515028,23079,23242
120,-147.0,0.6952070309927615,0.5112392845442846,BALANCED,0.5,True,0.0005001485820515028,24790,24975
130,-136.0,0.6746301382227565,0.5112392845442846,BALANCED,0.5,False,0.0005011239284544285,26316,26521
140,-186.0,0.6546622849146564,0.5112392845442846,BALANCED,0.5,False,0.0005011239284544285,27916,28141
150,-148.0,0.6352854445826206,0.5203429820278666,BALANCED,0.6,True,0.0005011239284544285,29644,29891
160,-182.0,0.6164821242927577,0.5203429820278666,BALANCED,0.6,False,0.0005020342982027866,31216,31483
170,-157.0,0.598235348870935,0.5203429820278666,BALANCED,0.6,False,0.0005020342982027866,33280,33567
180,-182.0,0.5805286455780104,0.5017056512856072,BALANCED,0.5,True,0.0005020342982027866,34932,35241
190,-200.0,0.5633460292386493,0.5017056512856072,BALANCED,0.5,False,0.0005001705651285608,36512,36841
200,-157.0,0.5466719878103016,0.5017056512856072,BALANCED,0.5,False,0.0005001705651285608,38218,38567
210,-208.0,0.5304914683793133,0.5214205886526847,BALANCED,0.5714285714285714,True,0.0005001705651285608,40020,40391
220,-150.0,0.5147898635715258,0.5214205886526847,BALANCED,0.5714285714285714,False,0.0005021420588652686,41804,42195
230,-176.0,0.49955299836509925,0.5214205886526847,BALANCED,0.5714285714285714,False,0.0005021420588652686,43313,43724
240,-176.0,0.4847671172936517,0.5119593663994252,BALANCED,0.5,True,0.0005021420588652686,44913,45346
250,-117.0,0.47041887202816357,0.5119593663994252,BALANCED,0.5,False,0.0005011959366399425,46526,46979
260,-177.0,0.45649530932643506,0.5119593663994252,BALANCED,0.5,False,0.0005011959366399425,47956,48429
270,-190.0,0.44298385933921797,0.5329745884141163,BALANCED,0.5555555555555556,True,0.0005011959366399425,49688,50183
280,-127.0,0.42987232426246613,0.5329745884141163,BALANCED,0.5555555555555556,False,0.0005032974588414117,50000,51489
290,-103.0,0.41714886732545814,0.5329745884141163,BALANCED,0.5555555555555556,False,0.0005032974588414117,50000,53033
300,-120.0,0.4048020021048524,0.5134643811088287,BALANCED,0.5,True,0.0005032974588414117,50000,54613
310,-124.0,0.3928205821550279,0.5134643811088287,BALANCED,0.5,False,0.0005013464381108829,50000,55905
320,-121.0,0.38119379094534706,0.5134643811088287,BALANCED,0.5,False,0.0005013464381108829,50000,57115
330,-178.0,0.3699111320952587,0.4918592673239271,BALANCED,0.45454545454545453,True,0.0005013464381108829,50000,58596
340,-128.0,0.3589624198984244,0.4918592673239271,BALANCED,0.45454545454545453,False,0.0004991859267323927,50000,59885
350,-112.0,0.34833777012731426,0.4918592673239271,BALANCED,0.45454545454545453,False,0.0004991859267323927,50000,61191
360,-92.0,0.33802759110996905,0.46946464367759866,ADAPTIVE,0.4166666666666667,True,0.0004991859267323927,50000,62528
370,-157.0,0.3280225750708758,0.46946464367759866,ADAPTIVE,0.4166666666666667,False,0.0004969464643677599,50000,63871
380,-122.0,0.3183136897281373,0.46946464367759866,ADAPTIVE,0.4166666666666667,False,0.0004969464643677599,50000,65030
390,-148.0,0.3088921701393506,0.45068160962720283,ADAPTIVE,0.38461538461538464,True,0.0004969464643677599,50000,66399
400,-142.0,0.2997495107888329,0.45068160962720283,ADAPTIVE,0.38461538461538464,False,0.0004950681609627203,50000,67771
410,-201.0,0.29087745790905184,0.45068160962720283,ADAPTIVE,0.38461538461538464,False,0.0004950681609627203,50000,68950
420,-115.0,0.28226800202932767,0.45068160962720283,ADAPTIVE,0.35714285714285715,True,0.0004950681609627203,50000,70248
430,-99.0,0.27391337074507993,0.45068160962720283,ADAPTIVE,0.35714285714285715,False,0.0004950681609627203,50000,71400
440,-87.0,0.26580602170109296,0.45068160962720283,ADAPTIVE,0.35714285714285715,False,0.0004950681609627203,50000,72651
450,-110.0,0.25793863578246295,0.4317410315452004,ADAPTIVE,0.3333333333333333,True,0.0004950681609627203,50000,73865
460,-98.0,0.25030411050708157,0.4317410315452004,ADAPTIVE,0.3333333333333333,False,0.0004931741031545201,50000,74961
470,-113.0,0.24289555361369,0.4317410315452004,ADAPTIVE,0.3333333333333333,False,0.0004931741031545201,50000,76072
480,-122.0,0.23570627683971565,0.4409970547974909,ADAPTIVE,0.375,True,0.0004931741031545201,50000,77212
490,-118.0,0.2287297898832734,0.4409970547974909,ADAPTIVE,0.375,False,0.0004940997054797492,50000,78343
500,-128.0,0.22195979454388087,0.4409970547974909,ADAPTIVE,0.375,False,0.0004940997054797492,50000,79440
510,-130.0,0.21539017903659852,0.45073050182948116,BALANCED,0.4117647058823529,True,0.0004940997054797492,50000,80593
520,-88.0,0.20901501247446055,0.45073050182948116,BALANCED,0.4117647058823529,False,0.0004950730501829481,50000,81767
530,-104.0,0.2028285395142165,0.45073050182948116,BALANCED,0.4117647058823529,False,0.0004950730501829481,50000,82832
540,-122.0,0.19682517516054926,0.43155165415742036,BALANCED,0.3888888888888889,True,0.0004950730501829481,50000,84120
550,-90.0,0.1909994997240788,0.43155165415742036,BALANCED,0.3888888888888889,False,0.0004931551654157421,50000,85278
