episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,lr_actual,buffer_size,train_steps
0,11.0,0.996,0.5,BALANCED,0.0,False,0.0005,9,0
10,13.0,0.9568695240087989,0.5,BALANCED,0.0,False,0.0005,131,78
20,12.0,0.9192763915429975,0.5089495175353337,BALANCED,1.0,True,0.0005,252,221
30,10.0,0.8831602040243718,0.5089495175353337,BALANCED,1.0,False,0.0005008949517535334,386,375
40,123.0,0.8484629357914802,0.48929099895053374,BALANCED,0.5,True,0.0005008949517535334,1206,1217
50,17.0,0.8151288408733952,0.48929099895053374,BALANCED,0.5,False,0.0004989290998950534,2318,2349
60,152.0,0.7831043634260739,0.48929099895053374,BALANCED,0.3333333333333333,True,0.0004989290998950534,3643,3696
70,208.0,0.7523380516874708,0.48929099895053374,BALANCED,0.3333333333333333,False,0.0004989290998950534,4913,4986
80,177.0,0.72278047531315,0.48929099895053374,BALANCED,0.25,True,0.0004989290998950534,6479,6574
90,198.0,0.6943841459595858,0.48929099895053374,BALANCED,0.25,False,0.0004989290998950534,7891,8006
100,145.0,0.6671034409875553,0.4800288640974248,BALANCED,0.2,True,0.0004989290998950534,9185,9322
110,14.0,0.640894530163046,0.4800288640974248,BALANCED,0.2,False,0.0004980028864097425,10364,10521
120,17.0,0.6157153052379084,0.48968537942261087,BALANCED,0.3333333333333333,True,0.0004980028864097425,11883,12062
130,110.0,0.5915253122971182,0.48968537942261087,BALANCED,0.3333333333333333,False,0.0004989685379422611,13181,13380
140,185.0,0.5682856867639554,0.5116923763321356,BALANCED,0.42857142857142855,True,0.0004989685379422611,15864,16085
150,500.0,0.5459590909586742,0.5116923763321356,BALANCED,0.42857142857142855,False,0.0005011692376332135,17793,18034
160,153.0,0.5245096541103446,0.5116923763321356,BALANCED,0.375,True,0.0005011692376332135,19911,20174
170,189.0,0.503902914725487,0.5116923763321356,BALANCED,0.375,False,0.0005011692376332135,22038,22321
180,256.0,0.4841057652209067,0.5116923763321356,BALANCED,0.3333333333333333,True,0.0005011692376332135,24965,25270
190,275.0,0.4650863987317714,0.5116923763321356,BALANCED,0.3333333333333333,False,0.0005011692376332135,27721,28046
200,372.0,0.4468142580094745,0.5116923763321356,BALANCED,0.3,True,0.0005011692376332135,30063,30410
210,500.0,0.42925998632717927,0.5116923763321356,BALANCED,0.3,False,0.0005011692376332135,33116,33483
220,261.0,0.4123953803141683,0.5116923763321356,BALANCED,0.2727272727272727,True,0.0005011692376332135,36709,37098
230,475.0,0.39619334464321876,0.5116923763321356,BALANCED,0.2727272727272727,False,0.0005011692376332135,39925,40334
240,204.0,0.3806278484982036,0.5116923763321356,BALANCED,0.25,True,0.0005011692376332135,43168,43599
250,60.0,0.3656738837519773,0.5116923763321356,BALANCED,0.25,False,0.0005011692376332135,46386,46837
260,385.0,0.35130742478735283,0.5116923763321356,BALANCED,0.23076923076923078,True,0.0005011692376332135,50000,51204
270,225.0,0.33750538989661766,0.5116923763321356,BALANCED,0.23076923076923078,False,0.0005011692376332135,50000,53323
280,47.0,0.3242456041975709,0.5306279687197684,BALANCED,0.2857142857142857,True,0.0005011692376332135,50000,56623
290,500.0,0.3115067640065011,0.5306279687197684,BALANCED,0.2857142857142857,False,0.0005030627968719769,50000,60385
300,462.0,0.29926840261086546,0.5306279687197684,BALANCED,0.26666666666666666,True,0.0005030627968719769,50000,65355
