episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual,infrastructure_loop_speed,infrastructure_automation,infrastructure_error_tolerance
0,9.0,0.995,0.5,BALANCED,0.0,0.0,0.0,0.0,False,none,0.0,0.0,stable,0.0005,0.1,0.9,0.05
10,24.0,0.946354579813443,0.5033879387721718,BALANCED,0.5,0.5,0.0,0.009999999999999995,True,decisive_win,58.0,0.6901765604972092,ascending,0.0005734072707120959,0.1,0.9,0.05
20,23.0,0.9000874278732445,0.5040477201307821,BALANCED,0.5,0.5,0.0,-0.001899999999999999,True,loss,-1.0,0.7008610186098307,stable,0.0005845386945148243,0.1,0.9,0.05
30,15.0,0.8560822709551227,0.4942799038666633,BALANCED,0.3333333333333333,0.5,0.16666666666666666,-0.09153899999999998,True,draw,0.0,0.7104625628577311,stable,0.0005780094065455989,0.1,0.9,0.05
40,14.0,0.8142285204175609,0.47585858585803575,ADAPTIVE,0.25,0.625,0.125,-0.26414658999999996,True,loss,-4.0,0.6351331024166735,stable,0.0005747376957633189,0.1,0.9,0.05
50,29.0,0.7744209942832988,0.47672961932731694,ADAPTIVE,0.3,0.6,0.1,-0.20395873790000002,True,win,7.0,0.6312053786826262,ascending,0.0005685369579033311,0.1,0.9,0.05
60,12.0,0.736559652908221,0.4672191698390542,ADAPTIVE,0.25,0.5833333333333334,0.16666666666666666,-0.265206577699,True,loss,-44.0,0.6286475150975863,ascending,0.0005719019075259064,0.1,0.9,0.05
70,40.0,0.7005493475733617,0.4991712246886575,BALANCED,0.35714285714285715,0.5,0.14285714285714285,-0.024817327936190056,True,decisive_win,158.0,0.6381241342721458,ascending,0.0005719558950127442,0.1,0.9,0.05
80,20.0,0.6662995813682115,0.5116838640852769,BALANCED,0.375,0.5,0.125,-0.030102035628313942,True,loss,-27.0,0.6044207628767412,ascending,0.0005873132738011879,0.1,0.9,0.05
90,77.0,0.6337242817644086,0.521157874585196,BALANCED,0.3888888888888889,0.4444444444444444,0.16666666666666666,0.07561735114106569,True,win,26.0,0.6009165403143558,ascending,0.0005840659847016765,0.1,0.9,0.05
100,25.0,0.6027415843082742,0.5204957045807604,BALANCED,0.4,0.45,0.15,0.0712500544242632,True,win,14.0,0.5646604010254372,ascending,0.0005840180730918086,0.1,0.9,0.05
110,111.0,0.5732736268885887,0.5642614620225969,ADAPTIVE,0.45454545454545453,0.4090909090909091,0.13636363636363635,0.24771254408365315,True,decisive_win,85.0,0.5088532987138803,ascending,0.0005947652070693208,0.1,0.9,0.05
120,138.0,0.5452463540625918,0.5550054387703064,BALANCED,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.11064716070775908,True,draw,7.0,0.5145755880437018,ascending,0.0005991418926920667,0.1,0.9,0.05
