episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual,infrastructure_loop_speed,infrastructure_automation,infrastructure_error_tolerance
0,26.0,0.995,0.5,BALANCED,0.0,0.0,0.0,0.0,False,none,0.0,0.0,stable,0.0005,0.3,0.8,0.08
10,14.0,0.946354579813443,0.5091870863012736,BALANCED,0.5,0.0,0.5,0.09999999999999998,True,win,1.0,0.7974480043444203,descending,0.0005600000000000001,0.3,0.8,0.08
20,34.0,0.9000874278732445,0.5280563771127786,BALANCED,0.5,0.0,0.5,0.17099999999999996,True,draw,0.0,0.7121352395073455,stable,0.0005694269427098936,0.3,0.8,0.08
30,13.0,0.8560822709551227,0.52628341125063,BALANCED,0.5,0.16666666666666666,0.3333333333333333,0.14850999999999995,True,decisive_win,17.0,0.6093265623488351,ascending,0.0005623268710906413,0.3,0.8,0.08
40,16.0,0.8142285204175609,0.5572519045607524,ADAPTIVE,0.625,0.125,0.25,0.3102930999999999,True,decisive_win,47.0,0.6076281247447577,ascending,0.0005718382640720838,0.3,0.8,0.08
50,28.0,0.7744209942832988,0.5476498293875027,BALANCED,0.5,0.2,0.3,0.15133741099999992,True,loss,-50.0,0.6212313435812854,ascending,0.0005792366399324128,0.3,0.8,0.08
60,62.0,0.736559652908221,0.5284874798894657,BALANCED,0.4166666666666667,0.3333333333333333,0.25,-0.06741669709,True,loss,-46.0,0.572036998684138,ascending,0.0005728023009509984,0.3,0.8,0.08
70,24.0,0.7005493475733617,0.5470209666099656,BALANCED,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.035392475357099974,True,draw,-7.0,0.5744683102484124,ascending,0.0005757990447809485,0.3,0.8,0.08
80,34.0,0.6662995813682115,0.5265623427149265,BALANCED,0.375,0.3125,0.3125,-0.07133209496074899,True,decisive_loss,-91.0,0.5470065787010905,ascending,0.0005757990447809485,0.3,0.8,0.08
90,115.0,0.6337242817644086,0.516985372316892,BALANCED,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.15777899691820668,True,loss,-28.0,0.5361062450938672,ascending,0.0005689249471522153,0.3,0.8,0.08
