episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,competition_outcome,psa_stability,infrastructure_loop_speed,infrastructure_automation,lr_actual
0,-500.0,0.997,0.5,BALANCED,0.0,False,none,0.0,0.3,0.8,0.0005600000000000001
10,-500.0,0.9674905716180701,0.47943069373930947,BALANCED,0.0,True,decisive_loss,1.0,0.3,0.8,0.0005600000000000001
20,-500.0,0.9388545698794984,0.47943069373930947,BALANCED,0.0,True,draw,1.0,0.3,0.8,0.0005530887130964081
30,-500.0,0.9110661429076764,0.47943069373930947,BALANCED,0.0,True,draw,0.9673265031524361,0.3,0.8,0.0005530887130964081
40,-500.0,0.884100203995605,0.47943069373930947,BALANCED,0.0,True,draw,0.9713968609372738,0.3,0.8,0.0005530887130964081
50,-472.0,0.857932408958235,0.4885686055430688,BALANCED,0.2,True,win,0.9732865782584071,0.3,0.8,0.0005530887130964081
60,-500.0,0.8325391341551359,0.47880078927895,BALANCED,0.16666666666666666,True,loss,0.9754761870423395,0.3,0.8,0.0005561590514624712
70,-500.0,0.8078974551636565,0.46944138950118486,BALANCED,0.14285714285714285,True,loss,0.9596975706673678,0.3,0.8,0.0005528770651977272
80,-500.0,0.78398512608332,0.46944138950118486,BALANCED,0.125,True,draw,0.9614105047669901,0.3,0.8,0.0005497323068723981
90,-500.0,0.7607805594527743,0.46944138950118486,BALANCED,0.1111111111111111,True,draw,0.9527855675758691,0.3,0.8,0.0005497323068723981
100,-500.0,0.7382628067611632,0.46944138950118486,BALANCED,0.1,True,draw,0.9301069125129312,0.3,0.8,0.0005497323068723981
110,-407.0,0.7164115395363275,0.46944138950118486,BALANCED,0.09090909090909091,True,draw,0.9018897515483839,0.3,0.8,0.0005497323068723981
120,-309.0,0.6952070309927615,0.46944138950118486,BALANCED,0.08333333333333333,True,draw,0.8730564030111975,0.3,0.8,0.0005497323068723981
130,-247.0,0.6746301382227565,0.4790677646181816,BALANCED,0.15384615384615385,True,win,0.847555081120549,0.3,0.8,0.0005497323068723981
140,-174.0,0.6546622849146564,0.4790677646181816,BALANCED,0.14285714285714285,True,draw,0.8277105358724817,0.3,0.8,0.000552966768911709
150,-203.0,0.6352854445826206,0.4790677646181816,BALANCED,0.13333333333333333,True,draw,0.816316299880725,0.3,0.8,0.000552966768911709
160,-336.0,0.6164821242927577,0.4790677646181816,BALANCED,0.125,True,draw,0.8072291487176556,0.3,0.8,0.000552966768911709
170,-400.0,0.598235348870935,0.4790677646181816,BALANCED,0.11764705882352941,True,draw,0.8046003100826058,0.3,0.8,0.000552966768911709
180,-262.0,0.5805286455780104,0.4790677646181816,BALANCED,0.1111111111111111,True,draw,0.7972950618622733,0.3,0.8,0.000552966768911709
190,-355.0,0.5633460292386493,0.4790677646181816,BALANCED,0.10526315789473684,True,draw,0.7946351883616399,0.3,0.8,0.000552966768911709
200,-325.0,0.5466719878103016,0.4885605692673334,BALANCED,0.15,True,win,0.7915241238043885,0.3,0.8,0.000552966768911709
210,-384.0,0.5304914683793133,0.4885605692673334,BALANCED,0.14285714285714285,True,draw,0.7872078073608239,0.3,0.8,0.0005561563512738241
220,-222.0,0.5147898635715258,0.4885605692673334,BALANCED,0.13636363636363635,True,draw,0.7862645769240431,0.3,0.8,0.0005561563512738241
230,-272.0,0.49955299836509925,0.4885605692673334,BALANCED,0.13043478260869565,True,draw,0.7862676284924933,0.3,0.8,0.0005561563512738241
240,-382.0,0.4847671172936517,0.4885605692673334,BALANCED,0.125,True,draw,0.7861501031947725,0.3,0.8,0.0005561563512738241
250,-225.0,0.47041887202816357,0.4885605692673334,BALANCED,0.12,True,draw,0.7843233449424395,0.3,0.8,0.0005561563512738241
260,-390.0,0.45649530932643506,0.5087928174666414,BALANCED,0.15384615384615385,True,decisive_win,0.7831490906723345,0.3,0.8,0.0005561563512738241
270,-204.0,0.44298385933921797,0.5087928174666414,BALANCED,0.14814814814814814,True,draw,0.7817182547213822,0.3,0.8,0.0005629543866687916
280,-287.0,0.42987232426246613,0.5087928174666414,BALANCED,0.14285714285714285,True,draw,0.7821878329244614,0.3,0.8,0.0005629543866687916
290,-293.0,0.41714886732545814,0.5087928174666414,BALANCED,0.13793103448275862,True,draw,0.7834118243090558,0.3,0.8,0.0005629543866687916
300,-500.0,0.4048020021048524,0.48929650139433767,BALANCED,0.13333333333333333,True,decisive_loss,0.7836370096710451,0.3,0.8,0.0005629543866687916
310,-383.0,0.3928205821550279,0.48929650139433767,BALANCED,0.12903225806451613,True,draw,0.7816998715429293,0.3,0.8,0.0005564036244684975
320,-388.0,0.38119379094534706,0.48929650139433767,BALANCED,0.125,True,draw,0.7791987401128233,0.3,0.8,0.0005564036244684975
330,-427.0,0.3699111320952587,0.48929650139433767,BALANCED,0.12121212121212122,True,draw,0.7793458742201365,0.3,0.8,0.0005564036244684975
340,-237.0,0.3589624198984244,0.48929650139433767,BALANCED,0.11764705882352941,True,draw,0.7792790392446546,0.3,0.8,0.0005564036244684975
350,-232.0,0.34833777012731426,0.48929650139433767,BALANCED,0.11428571428571428,True,draw,0.7740698804997397,0.3,0.8,0.0005564036244684975
360,-208.0,0.33802759110996905,0.48929650139433767,BALANCED,0.1111111111111111,True,draw,0.7696567049714278,0.3,0.8,0.0005564036244684975
370,-179.0,0.3280225750708758,0.48929650139433767,BALANCED,0.10810810810810811,True,draw,0.765332628582407,0.3,0.8,0.0005564036244684975
380,-154.0,0.3183136897281373,0.48929650139433767,BALANCED,0.10526315789473684,True,draw,0.7613584793433876,0.3,0.8,0.0005564036244684975
390,-123.0,0.3088921701393506,0.48929650139433767,BALANCED,0.10256410256410256,True,draw,0.7565370844866812,0.3,0.8,0.0005564036244684975
400,-208.0,0.2997495107888329,0.4698363331852691,BALANCED,0.1,True,decisive_loss,0.7532199653582365,0.3,0.8,0.0005564036244684975
410,-160.0,0.29087745790905184,0.4698363331852691,BALANCED,0.0975609756097561,True,draw,0.7483312088884027,0.3,0.8,0.0005498650079502505
420,-378.0,0.28226800202932767,0.4698363331852691,BALANCED,0.09523809523809523,True,draw,0.7441385663431936,0.3,0.8,0.0005498650079502505
430,-159.0,0.27391337074507993,0.49058636039840653,BALANCED,0.11627906976744186,True,decisive_win,0.7410377974205163,0.3,0.8,0.0005498650079502505
440,-286.0,0.26580602170109296,0.49058636039840653,BALANCED,0.11363636363636363,True,draw,0.7380744424269294,0.3,0.8,0.0005568370170938646
450,-164.0,0.25793863578246295,0.49058636039840653,BALANCED,0.1111111111111111,True,draw,0.7355383395256392,0.3,0.8,0.0005568370170938646
460,-210.0,0.25030411050708157,0.49058636039840653,BALANCED,0.10869565217391304,True,draw,0.7311636380991854,0.3,0.8,0.0005568370170938646
470,-213.0,0.24289555361369,0.49058636039840653,BALANCED,0.10638297872340426,True,draw,0.7278595591336555,0.3,0.8,0.0005568370170938646
480,-92.0,0.23570627683971565,0.49058636039840653,BALANCED,0.10416666666666667,True,draw,0.7248596388031571,0.3,0.8,0.0005568370170938646
490,-88.0,0.2287297898832734,0.49058636039840653,BALANCED,0.10204081632653061,True,draw,0.7205327493860856,0.3,0.8,0.0005568370170938646
