episode,reward,emotion,eta,td_error,sigma_mean
1,30.77,0.495,0.00160,0.960,0.0066
11,9.21,0.300,0.00043,0.912,0.0052
21,8.29,0.300,0.00043,0.913,0.0051
31,20.27,0.300,0.00042,0.922,0.0054
41,13.82,0.300,0.00042,0.915,0.0051
51,22.11,0.300,0.00042,0.920,0.0052
61,8.29,0.300,0.00039,0.911,0.0050
71,15.66,0.300,0.00038,0.920,0.0050
81,11.26,0.300,0.00226,0.151,0.0184
91,12.48,0.300,0.00224,0.159,0.0183
101,12.51,0.300,0.00218,0.160,0.0183
111,13.72,0.300,0.00207,0.192,0.0185
121,16.33,0.300,0.00200,0.221,0.0184
131,138.91,0.917,0.00115,0.262,0.0191
141,249.08,0.920,0.00081,0.381,0.0189
151,149.69,0.980,0.00127,0.407,0.0187
161,75.45,0.980,0.00119,0.441,0.0188
171,94.61,0.980,0.00075,0.919,0.0193
181,155.68,0.980,0.00130,0.764,0.0186
191,598.77,0.980,0.00094,1.018,0.0192
201,264.66,0.903,0.00095,1.832,0.0192
211,296.99,0.953,0.00104,1.694,0.0193
221,104.19,0.980,0.00096,1.811,0.0189
231,192.80,0.980,0.00143,1.185,0.0188
241,598.76,0.980,0.00075,2.718,0.0183
251,24.96,0.442,0.00089,3.673,0.0186
261,121.88,0.980,0.00077,4.173,0.0185
271,112.57,0.980,0.00093,3.623,0.0187
281,117.36,0.976,0.00100,3.425,0.0192
291,22.72,0.618,0.00121,2.838,0.0186
301,137.72,0.956,0.00075,4.845,0.0185
311,132.93,0.926,0.00117,3.193,0.0193
321,86.22,0.946,0.00095,4.018,0.0185
331,10.50,0.300,0.00133,6.333,0.0184
341,10.50,0.300,0.00151,7.049,0.0176
351,14.09,0.300,0.00089,15.346,0.0190
361,14.09,0.300,0.00075,18.443,0.0191
371,12.90,0.300,0.00224,5.971,0.0186
381,11.70,0.300,0.00119,24.050,0.0181
391,9.30,0.300,0.00223,9.531,0.0189
401,14.09,0.300,0.00101,30.299,0.0179
411,10.50,0.300,0.00205,8.770,0.0181
421,10.50,0.300,0.00238,7.687,0.0187
431,20.08,0.300,0.00105,198.309,0.0189
441,11.70,0.300,0.00258,19.536,0.0184
451,9.30,0.300,0.00257,14.447,0.0189
461,10.50,0.300,0.00262,14.171,0.0185
471,9.30,0.300,0.00255,16.353,0.0190
481,10.50,0.300,0.00259,9.534,0.0189
491,14.09,0.300,0.00075,234.900,0.0192
1,25.00,0.433,0.00160,0.953,0.0116
11,10.13,0.300,0.00014,0.909,0.0106
21,18.42,0.300,0.00014,0.923,0.0109
31,11.97,0.300,0.00014,0.915,0.0105
41,7.37,0.300,0.00015,0.895,0.0105
51,16.58,0.300,0.00014,0.920,0.0090
61,13.82,0.300,0.00012,0.914,0.0097
71,12.64,0.300,0.00082,0.410,0.0284
81,11.27,0.300,0.00157,0.252,0.0280
91,11.31,0.300,0.00194,0.214,0.0281
101,11.37,0.300,0.00135,0.253,0.0284
111,13.79,0.300,0.00143,0.223,0.0284
121,12.65,0.300,0.00113,0.193,0.0284
131,17.56,0.300,0.00038,0.355,0.0298
141,86.95,0.980,0.00033,0.403,0.0295
151,132.89,0.971,0.00024,0.437,0.0286
161,120.95,0.955,0.00052,0.454,0.0284
171,126.94,0.980,0.00029,0.623,0.0289
181,146.10,0.980,0.00078,0.824,0.0289
191,92.21,0.980,0.00053,1.095,0.0286
201,88.30,0.964,0.00087,1.120,0.0287
211,27.54,0.626,0.00077,1.226,0.0293
221,84.80,0.978,0.00073,1.306,0.0283
231,106.58,0.980,0.00034,2.057,0.0283
241,17.81,0.317,0.00131,1.013,0.0292
251,14.25,0.300,0.00109,1.109,0.0294
261,88.62,0.980,0.00054,2.120,0.0288
271,18.91,0.330,0.00111,1.178,0.0288
281,25.00,0.566,0.00158,0.712,0.0293
291,21.34,0.436,0.00101,0.874,0.0289
301,17.69,0.300,0.00085,0.982,0.0291
311,17.69,0.300,0.00090,0.947,0.0290
321,16.49,0.300,0.00025,1.714,0.0293
331,18.88,0.300,0.00099,1.025,0.0294
341,20.08,0.300,0.00037,2.031,0.0292
351,23.67,0.300,0.00100,1.095,0.0286
361,20.08,0.300,0.00103,0.981,0.0295
371,20.08,0.300,0.00102,1.052,0.0288
381,30.86,0.300,0.00086,1.123,0.0292
391,40.44,0.300,0.00048,1.674,0.0287
401,30.89,0.654,0.00063,1.191,0.0289
411,51.35,0.980,0.00103,1.241,0.0276
421,69.46,0.980,0.00080,1.586,0.0289
431,57.48,0.966,0.00053,2.105,0.0289
441,73.05,0.930,0.00031,2.791,0.0292
451,135.29,0.980,0.00104,2.837,0.0287
461,123.34,0.980,0.00104,2.821,0.0293
471,91.01,0.980,0.00138,1.950,0.0298
481,44.14,0.980,0.00138,1.984,0.0292
491,16.49,0.300,0.00167,1.636,0.0291
1,30.77,0.495,0.00160,0.959,0.0149,0.0000,0.0946
11,17.50,0.300,0.00014,0.917,0.0126,0.0000,0.0000
21,14.74,0.300,0.00014,0.924,0.0129,0.0000,0.0000
31,9.21,0.300,0.00015,0.893,0.0111,0.0000,0.0000
41,11.05,0.300,0.00014,0.910,0.0109,0.0000,0.0000
51,15.66,0.300,0.00014,0.917,0.0129,0.0000,0.0000
61,8.29,0.300,0.00012,0.912,0.0133,0.0000,0.0000
71,9.21,0.300,0.00012,0.911,0.0109,0.0000,0.0000
81,10.06,0.300,0.00135,0.281,0.0354,0.0000,0.0000
91,12.47,0.300,0.00155,0.270,0.0347,0.0000,0.0000
101,10.19,0.300,0.00097,0.477,0.0353,0.0000,0.0000
111,13.76,0.300,0.00106,0.481,0.0354,0.0000,0.0000
121,29.37,0.300,0.00142,0.235,0.0358,0.0000,0.0000
131,118.56,0.951,0.00071,0.397,0.0359,0.0000,0.0290
141,118.56,0.980,0.00043,0.534,0.0365,0.0000,0.0000
151,106.58,0.980,0.00023,0.833,0.0361,0.0000,0.0081
161,124.54,0.980,0.00036,0.705,0.0350,0.0000,0.0000
171,27.31,0.662,0.00052,0.697,0.0365,0.0000,0.1972
181,91.01,0.980,0.00046,0.823,0.0358,0.0000,0.0000
191,113.77,0.980,0.00032,1.023,0.0358,0.0000,0.0000
201,153.27,0.922,0.00039,1.262,0.0361,0.0000,0.0251
211,124.52,0.980,0.00047,1.250,0.0354,0.0000,0.0607
221,141.30,0.980,0.00051,1.211,0.0360,0.0000,0.0298
231,140.11,0.980,0.00029,1.680,0.0363,0.0000,0.0000
241,199.97,0.974,0.00069,0.973,0.0356,0.0000,0.0332
251,274.24,0.936,0.00090,0.792,0.0361,0.0000,0.0440
261,598.77,0.980,0.00118,0.572,0.0360,0.0000,0.0027
271,17.70,0.472,0.00023,1.899,0.0359,0.0000,0.0323
281,15.34,0.303,0.00023,1.908,0.0358,0.0000,0.1103
291,33.28,0.320,0.00112,0.929,0.0358,0.0000,0.0332
301,53.89,0.980,0.00091,1.103,0.0359,0.0000,0.0000
311,33.39,0.559,0.00083,1.209,0.0351,0.0000,0.0662
321,24.87,0.300,0.00023,2.624,0.0353,0.0000,0.0000
331,34.45,0.300,0.00062,1.561,0.0358,0.0000,0.0000
341,21.23,0.416,0.00091,1.152,0.0357,0.0000,0.0008
351,28.46,0.316,0.00055,1.665,0.0354,0.0000,0.0159
361,27.15,0.300,0.00038,2.115,0.0360,0.0000,0.0000
371,39.13,0.300,0.00070,1.516,0.0359,0.0000,0.0000
381,23.67,0.300,0.00069,1.757,0.0355,0.0000,0.0000
391,17.62,0.300,0.00042,2.493,0.0363,0.0000,0.0000
401,23.67,0.300,0.00089,2.283,0.0357,0.0000,0.0000
411,16.49,0.300,0.00066,3.240,0.0368,0.0000,0.0000
421,12.90,0.300,0.00023,7.669,0.0368,0.0000,0.0000
431,16.49,0.300,0.00139,2.002,0.0359,0.0000,0.0000
441,17.69,0.300,0.00103,3.246,0.0363,0.0000,0.0000
451,14.09,0.300,0.00059,4.766,0.0365,0.0000,0.0000
461,15.29,0.300,0.00116,2.717,0.0357,0.0000,0.0000
